customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
"C0001","Rahul","rahul1@email.com","Basic","471","2024-11-19","SEG1","+919944669616","2023-01-08"
"C0002","Amit","amit2@email.com","Basic","414","2024-11-16","SEG2","+919373591115","2020-03-17"
"C0003","Kavya","kavya3@email.com","Basic","159","2024-11-19","SEG5","+918121514378","2021-10-15"
"C0004","Abhishek","abhishek4@email.com","Silver","558","2024-11-16","SEG4","+918109517783","2020-10-04"
"C0005","Neha","neha5@email.com","Basic","21","2024-11-15","SEG1","+918994095677","2020-04-26"
"C0006","Priya","priya6@email.com","Silver","1428","2024-11-16","SEG2","+919817785924","2020-11-02"
"C0007","Amit","amit7@email.com","Gold","2579","2024-11-20","SEG5","+919031933055","2023-03-06"
"C0008","Riya","riya8@email.com","Silver","1759","2024-11-20","SEG3","+918199852322","2021-10-02"
"C0009","Abhishek","abhishek9@email.com","Gold",,"2024-11-17","SEG4","","2020-03-08"
"C0010","Sneha","sneha10@email.com","Basic","2","2024-11-17","SEG4","+919782717408","2021-08-12"
"C0011","Tanvi","tanvi11@email.com","Basic","28","2024-11-14","SEG2","+919950544561","2023-12-30"
"C0012","Arjun","arjun12@email.com","Basic","201","2024-11-18","SEG1","+918012528115","2022-06-09"
"C0013","Meera","meera13@email.com","Basic","215","2024-11-16","SEG4","+917130704386","2022-12-31"
"C0014","Tanvi","tanvi14@email.com","Basic","400","2024-11-19","SEG1","+919739378347","2023-08-23"
"C0015","Tanvi","tanvi15@email.com","Basic","192","2024-11-18","SEG2","+917265884492","2020-02-18"
"C0016","Meera","meera16@email.com","Silver","1258","2024-11-14","SEG2","+919564627588","2020-01-27"
"C0017","Anjali","anjali17@email.com","Gold","2091","2024-11-19","SEG5","+917138930274","2022-12-16"
"C0018","Rohan","rohan18@email.com","Basic","411","2024-11-16","SEG5","","2022-10-15"
"C0019","Ishita","ishita19@email.com","Basic","276","2024-11-17","SEG2","+919123376343","2023-10-29"
"C0020","Kavya","kavya20@email.com","Silver","1770","2024-11-15","SEG5","+918705078999","2023-04-18"
"C0021","Anita","anita21@email.com","Basic","185","2024-11-18","SEG5","+917157884224","2020-10-19"
"C0022","Suresh","suresh22@email.com","Basic","344","2024-11-19","SEG2","+919877089743","2022-01-01"
"C0023","Meera","meera23@email.com","Platinum","10178","2024-11-20","SEG4","+919400531843","2023-12-05"
"C0024","Simran","simran24@email.com","Basic","456","2024-11-17","SEG4","+917195676400","2020-02-04"
"C0025","Gaurav","gaurav25@email.com","Gold","2889","2024-11-20","SEG5","+918931507598","2021-12-14"
"C0026","Varun","varun26@email.com","Platinum","9428","2024-11-19","SEG1","+917132014393","2020-09-20"
"C0027","Arjun","arjun27@email.com","Platinum","13630","2024-11-17","SEG3","+917029798998","2020-11-01"
"C0028","Tanvi","tanvi28@email.com","Platinum","9016","2024-11-15","SEG1","+918814561837","2021-05-24"
"C0029","Arjun","arjun29@email.com","Basic","478","2024-11-20","SEG2","+918972211982","2020-08-28"
"C0030","Meera","meera30@email.com","Platinum","10819","2024-11-16","SEG5","+918362014214","2020-08-04"
"C0031","Rahul","Rahul@","Gold","2299","2024-11-15","SEG5","+917927122971","2020-04-29"
"C0032","Rajesh","rajesh32@email.com","Silver","868","2024-11-15","SEG4","+918613124569","2023-11-30"
"C0033","Priya","priya33@email.com","Basic","83","2024-11-16","SEG1","+919970893974","2020-02-01"
"C0034","Anjali","anjali34@email.com","Silver","1026","2024-11-18","SEG2","+918363078126","2020-09-18"
"C0035","Kavya","kavya35@email.com","BASIC","1082","2024-11-15","SEG3","+917333467425","2022-03-13"
"C0036","Ishita","ishita36@email.com","Basic","75","2024-11-20","SEG4","+918426379573","2022-03-02"
"C0037","Simran","simran37@email.com","Platinum","14845","2024-11-19","SEG1","+919582891884","2023-02-21"
"C0038","Simran","simran38@email.com","Gold","3180","2024-11-15","SEG1","+917740881996","2022-05-07"
"C0039","Manish","manish39@email.com","Basic","79","2024-11-20","SEG2","+919527282945","2020-09-05"
"C0040","Riya","riya40@email.com","Basic","237","2024-11-15","SEG5","+919315304337","2023-08-10"
"C0041","Vikram","Vikram@","Silver","-3142","2024-11-14","SEG4","+919818278290","2020-04-12"
"C0042","Simran","simran42@email.com","Basic","374","2024-11-15","SEG4","+918270017373","2020-09-14"
"C0043","Kavya","kavya43@email.com","Basic","33","2024-11-16","SEG5","586967","2021-11-06"
"C0044","Karan","karan44@email.com","Basic","309","2024-11-15","SEG4","+917168217966","2022-01-14"
"C0045","Priya","priya45@email.com","Basic","193","2024-11-16","SEG4","+918609593801","2023-09-12"
"C0046","Rohan","rohan46@email.com","Basic","338","2024-11-17","SEG2","+917434760702","2021-01-20"
"C0047","Rahul","rahul47@email.com","Basic","58","2024-11-19","SEG1","+918422562754","2021-12-31"
"C0048","Rohan","rohan48@email.com","Silver","1307","2024-11-16","SEG1","+918817481596","2022-03-09"
"C0049","Gaurav","gaurav49@email.com","GOLD","65","2024-11-15","SEG1","+919907145411","2023-05-23"
"C0050","Sneha","sneha50@email.com","Basic","115","2024-11-17","SEG3","+918386199782","2022-06-05"
"C0051","Rakesh","rakesh51@email.com","Silver","1751","2024-11-20","SEG1","+917632067872","2020-02-17"
"C0052","Pooja","pooja52@email.com","Gold","3598","2024-11-17","SEG4","+917766315521","2020-04-04"
"C0053","Amit","amit53@email.com","Platinum","13164","2024-11-20","SEG5","+919986688346","2020-09-15"
"C0054","Tanvi","tanvi54@email.com","Basic","281","2024-11-16","SEG3","+917299706760","2021-08-04"
"C0055","Anjali","anjali55@email.com","Basic","454","2024-11-15","SEG4","+918690009530","2022-07-09"
"C0056","Karan","","Silver","682","20-Nov-2024","SEG3","","2023-04-19"
"C0057","Abhishek","abhishek57@email.com","Silver","809","2024-11-15","SEG3","+918725465740","2023-11-18"
"C0058","Gaurav","gaurav58@email.com","Platinum","9643","2024-11-16","SEG4","+918647885603","2020-09-30"
"C0059","Rohan","rohan59@email.com","Basic","283","2024-11-20","SEG5","+917669820937","2022-11-23"
"C0060","Aditya","aditya60@email.com","Platinum","10841","2024-11-18","SEG3","+917295185047","2020-02-01"
"C0061","Gaurav","gaurav61@email.com","Basic","276","2024-11-15","SEG4","+919481707239","2022-07-10"
"C0062","Deepika","deepika62@email.com","Gold","3499","2024-11-16","SEG1","+919817942582","2022-12-23"
"C0063","Ishita","ishita63@email.com","Silver","860","2024-11-17","SEG3","+918391704994","2023-05-05"
"C0064","Rohan","rohan64@email.com","Basic","137","2024-11-17","SEG4","+918546042258","2020-08-28"
"C0065","Simran","simran65@email.com","Basic","392","2024-11-17","SEG5","+918753105406","2023-12-16"
"C0066","Anjali","anjali66@email.com","Basic","411","2024-11-16","SEG3","+917558062876","2020-02-18"
"C0067","Tanvi","tanvi67@email.com","Silver","1111","2024-11-18","SEG3","+919107136856","2020-04-07"
"C0068","Sneha","sneha68@email.com","Silver","1770","2024-11-19","SEG2","+917593084580","2023-04-11"
"C0069","Sanjay","sanjay69@email.com","Basic","106","2024-11-16","SEG3","+918911828676","2021-08-18"
"C0070","Arjun","arjun70@email.com","Silver","1163","2024-11-20","SEG4","+918016589414","2023-02-19"
"C0071","Meera","meera71@email.com","Basic","180","2024-11-16","SEG3","+919687061742","2023-12-20"
"C0072","Rakesh","rakesh72@email.com","Silver","1659","2024-11-19","SEG2","+917986194061","2023-03-13"
"C0073","Sanjay","sanjay73@email.com","Basic","59","2024-11-16","SEG1","+918834132972","2022-01-11"
"C0074","Aditya","aditya74@email.com","Basic","298","2024-11-16","SEG2","+919735233970","2020-10-27"
"C0075","Rahul","rahul75@email.com","Basic","76","2024-11-15","SEG2","+919595737024","2022-04-14"
"C0076","Kavya","kavya76@email.com","Platinum","11033","2024-11-20","SEG3","+919168937832","2021-09-09"
"C0077","Deepika","deepika77@email.com","Silver","682","2024-11-18","SEG5","+919637355551","2022-11-08"
"C0078","Riya","riya78@email.com","Silver","690","2024-11-15","SEG2","+917580070620","2023-10-23"
"C0079","Suresh","suresh79@email.com","Basic","351","2024-11-19","SEG5","+918051908892","2022-06-02"
"C0080","Rahul","rahul80@email.com","Gold","2887","2024-11-15","SEG2","+917934889430","2022-04-02"
"C0081","Meera","meera81@email.com","Basic","424","2024-11-17","SEG3","+919307386791","2023-07-27"
"C0082","Ishita","ishita82@email.com","Platinum","5837","2024-11-17","SEG1","+919151686942","2021-07-05"
"C0083","Rohan","rohan83@email.com","Silver","1944","2024-11-19","SEG3","+917640210784","2022-11-08"
"C0084","Anita","anita84@email.com","Basic","421","2024-11-18","SEG3","+919755998322","2020-05-02"
"C0085","Neha","neha85@email.com","Silver","1110","2024-11-17","SEG4","+917472966650","2022-12-28"
"C0086","Vivek","vivek86@email.com","Basic","356","2024-11-19","SEG2","+919974659941","2022-10-19"
"C0087","Varun","varun87@email.com","Silver","1101","2024-11-19","SEG1","+917111817918","2023-05-21"
"C0088","Rajesh","rajesh88@email.com","Basic","493","2024-11-17","SEG1","+918429272331","2021-11-16"
"C0089","Vikram","vikram89@email.com","Basic","444","2024-11-19","SEG1","+917396370733","2023-05-25"
"C0090","Gaurav","gaurav90@email.com","Basic","237","2024-11-19","SEG5","+919268099542","2023-07-15"
"C0091","Karan","karan91@email.com","Platinum","6639","20-Nov-2024","SEG5","","2023-11-04"
"C0092","Divya","divya92@email.com","Silver","1389","2024-11-15","SEG2","+919214197514","2023-06-07"
"C0093","Anita","anita93@email.com","Silver","1026","2024-11-19","SEG2","+917666438399","2023-10-06"
"C0094","Tanvi","tanvi94@email.com","Basic","335","2024-11-16","SEG1","+919615195949","2022-02-08"
"C0095","Divya","divya95@email.com","Basic","131","2024-11-19","SEG3","+917773551579","2021-12-21"
"C0096","Anita","anita96@email.com","Silver","1540","2024-11-14","SEG2","+917600746169","2023-11-16"
"C0097","Simran","simran97@email.com","Silver","1257","2024-11-20","SEG2","+918735211929","2021-12-10"
"C0098","Abhishek","abhishek98@email.com","Silver","1222","2024-11-17","SEG3","+919821732133","2023-11-18"
"C0099","Tanvi","tanvi99@email.com","Silver","1307","2024-11-18","SEG2","+917870754433","2021-09-05"
"C0100","Rahul","rahul100@email.com","Silver","1879","2024-11-14","SEG2","+917164283276","2021-11-03"
"C0101","Ishita","ishita101@email.com","Silver","1808","2024-11-15","SEG3","+918962480070","2023-04-09"
"C0102","Vivek","vivek102@email.com","Silver","960","2024-11-17","SEG1","+917836523727","2020-04-25"
"C0103","Deepika","deepika103@email.com","Silver","1007","2024-11-16","SEG5","+918368160765","2022-08-14"
"C0104","Neha","neha104@email.com","Silver","1839","2024-11-15","SEG5","+917821331643","2022-04-07"
"C0105","Manish","manish105@email.com","Silver","1043","2024-11-15","SEG5","+919712654281","2020-03-26"
"C0106","Abhishek","abhishek106@email.com","Basic","124","2024-11-17","SEG2","+917200527949","2023-10-26"
"C0107","Priya","priya107@email.com","Basic","280","2024-11-16","SEG1","+917848375583","2021-01-12"
"C0108","Manish","manish108@email.com","Silver","1664","2024-11-18","SEG3","+918474053937","2023-05-13"
"C0109","Deepika","deepika109@email.com","Platinum","12552","2024-11-20","SEG1","+918620801828","2022-10-31"
"C0110","Anita","anita110@email.com","Silver","518","2024-11-20","SEG2","+919665518325","2021-03-24"
"C0110","Simran","simran111@email.com","Basic",,"2024-11-19","SEG3","865077","2020-08-20"
"C0112","Meera","meera112@email.com","Gold","4237","2024-11-15","SEG4","+919905431771","2022-01-20"
"C0113","Sanjay","sanjay113@email.com","Basic","190","2024-11-17","SEG2","+917813360574","2023-12-09"
"C0114","Rohan","rohan114@email.com","Basic","319","2024-11-18","SEG3","+918407697093","2023-09-13"
"C0115","Rohan","rohan115@email.com","Basic","199","2024-11-19","SEG1","+919322387457","2020-08-30"
"C0116","Anita","anita116@email.com","Basic","387","2024-11-16","SEG3","+919504411427","2022-03-09"
"C0117","Manish","manish117@email.com","Silver","1419","2024-11-19","SEG2","+919663813141","2021-01-17"
"C0118","Deepika","deepika118@email.com","Silver","1104","2024-11-20","SEG2","+918999828966","2023-01-11"
"C0119","Riya","riya119@email.com","Gold","4015","2024-11-16","SEG5","+919830855408","2021-02-14"
"C0120","Suresh","suresh120@email.com","Platinum","12396","2024-11-18","SEG4","+919685429426","2021-03-11"
"C0121","Aditya","aditya121@email.com","Basic","156","2024-11-17","SEG1","+917462591178","2020-10-31"
"C0122","Divya","divya122@email.com","Basic","351","2024-11-17","SEG3","+919320479442","2023-01-05"
"C0123","Suresh","suresh123@email.com","Silver","1729","2024-11-15","SEG1","+919295683023","2023-09-23"
"C0124","Sanjay","sanjay124@email.com","Silver","1164","2024-11-17","SEG1","+918841928330","2020-02-20"
"C0125","Priya","priya125@email.com","Basic","146","2024-11-18","SEG3","+917366335364","2021-06-13"
"C0126","Aditya","aditya126@email.com","Silver","714","2024-11-18","SEG5","+917402918025","2023-12-19"
"C0127","Aditya","aditya127@email.com","Silver",,"2024-11-19","SEG1","+919030365342","2023-08-25"
"C0128","Neha","neha128@email.com","Basic","283","2024-11-16","SEG1","+917574236387","2022-12-15"
"C0129","Meera","meera129@email.com","Silver","1166","2024-11-15","SEG5","+919099400548","2021-01-18"
"C0130","Priya","priya130@email.com","Basic","427","2024-11-15","SEG1","+917780121337","2021-02-28"
"C0131","Ishita","ishita131@email.com","Basic","367","2024-11-18","SEG2","+919751964014","2023-05-30"
"C0132","Rajesh","rajesh132@email.com","Basic","393","2024-11-18","SEG5","+919120863720","2020-03-01"
"C0133","Sanjay","sanjay133@email.com","Basic","96","2024-11-20","SEG5","+919975214591","2021-12-04"
"C0134","Tanvi","tanvi134@email.com","Basic","96","2024-11-16","SEG2","+918556367018","2022-08-22"
"C0135","Manish","manish135@email.com","Basic","168","2024-11-19","SEG5","+918861296622","2021-08-28"
"C0136","Rajesh","rajesh136@email.com","Silver","1278","2024-11-18","SEG4","+917093981491","2021-01-09"
"C0137","Abhishek","abhishek137@email.com","Platinum","7045","2024-11-20","SEG4","+919479991758","2022-05-14"
"C0138","Rahul","rahul138@email.com","Silver","1926","2024-11-20","SEG4","+917845303923","2022-03-05"
"C0139","Pooja","pooja139@email.com","Basic","134","2024-11-16","SEG4","+919588860322","2023-11-07"
"C0140","Anita","anita140@email.com","Basic","473","2024-11-15","SEG4","+917987866877","2021-12-03"
"C0141","Kavya","kavya141@email.com","Silver","1290","2024-11-20","SEG2","+919929338535","2020-10-01"
"C0142","Ishita","ishita142@email.com","Basic","304","2024-11-18","SEG1","+918368543484","2022-04-09"
"C0143","Manish","manish143@email.com","Silver","1029","2024-11-20","SEG5","+919807080490","2023-09-27"
"C0144","Rakesh","rakesh144@email.com","Gold","4357","2024-11-20","SEG2","+917214344536","2023-06-08"
"C0144","Anjali","anjali145@email.com","Basic",,"2024-11-15","SEG1","597255","2022-01-03"
"C0146","Priya","priya146@email.com","Basic","227","2024-11-15","SEG3","+918199443137","2023-11-16"
"C0147","Aditya","aditya147@email.com","Silver","1730","2024-11-15","SEG4","+917405616775","2020-12-27"
"C0148","Karan","karan148@email.com","Silver","633","2024-11-15","SEG1","+919487657958","2023-01-14"
"C0149","Kavya","kavya149@email.com","Basic","227","2024-11-17","SEG1","+917357618727","2020-08-16"
"C0150","Karan","karan150@email.com","Basic","440","2024-11-17","SEG2","+917749384231","2021-07-27"
"C0151","Manish","manish151@email.com","Basic","113","2024-11-18","SEG5","+919214705657","2020-04-22"
"C0152","Sneha","sneha152@email.com","Silver","1672","2024-11-15","SEG5","+917271652264","2020-07-19"
"C0153","Rohan","rohan153@email.com","Basic","194","2024-11-16","SEG3","+919987931222","2022-04-12"
"C0154","Pooja","pooja154@email.com","Basic","135","2024-11-19","SEG1","+919613143579","2022-05-31"
"C0155","Meera","meera155@email.com","Basic","116","2024-11-17","SEG1","+917563887340","2023-03-03"
"C0156","Rohan","rohan156@email.com","Basic","192","2024-11-20","SEG5","+919206283111","2021-01-06"
"C0157","Rajesh","rajesh157@email.com","Basic","419","2024-11-20","SEG3","+918206780160","2021-04-21"
"C0158","Gaurav","gaurav158@email.com","Basic","235","2024-11-19","SEG1","+918031667579","2022-11-01"
"C0159","Suresh","suresh159@email.com","Basic","302","2024-11-19","SEG4","+919405543681","2022-08-31"
"C0160","Deepika","deepika160@email.com","Platinum","9756","2024-11-20","SEG4","+917496888969","2022-07-20"
"C0161","Simran","simran161@email.com","Silver","1344","2024-11-19","SEG4","+919093225534","2022-12-01"
"C0162","Meera","meera162@email.com","Platinum","8242","2024-11-19","SEG1","+918314043120","2023-02-07"
"C0163","Vivek","vivek163@email.com","Basic","114","2024-11-18","SEG2","+919161457468","2020-06-10"
"C0164","Vikram","Vikram@","Basic","462","20-Nov-2024","SEG4","+919818626549","2021-09-28"
"C0165","Arjun","arjun165@email.com","Silver","1687","2024-11-19","SEG5","+917929356274","2023-07-03"
"C0166","Divya","divya166@email.com","Silver","1583","2024-11-20","SEG2","+917729893277","2023-02-02"
"C0167","Divya","divya167@email.com","Basic","410","2024-11-18","SEG1","+918910247447","2021-03-28"
"C0168","Anita","anita168@email.com","Silver","1406","2024-11-14","SEG5","+917564149325","2022-02-24"
"C0169","Aditya","aditya169@email.com","Basic","470","2024-11-17","SEG2","+918330537416","2021-07-11"
"C0170","Deepika","deepika170@email.com","Silver","772","2024-11-15","SEG4","+917303817988","2022-06-17"
"C0171","Aditya","aditya171@email.com","Basic","94","2024-11-17","SEG1","+917721671313","2020-11-24"
"C0172","Tanvi","tanvi172@email.com","Platinum","11032","2024-11-16","SEG1","+919991152132","2021-06-30"
"C0173","Abhishek","abhishek173@email.com","Silver","811","2024-11-15","SEG1","+917832242769","2020-06-18"
"C0174","Deepika","deepika174@email.com","Basic","158","2024-11-18","SEG1","+917446547633","2023-03-16"
"C0175","Tanvi","tanvi175@email.com","Gold","2982","2024-11-18","SEG5","+917987740657","2022-04-03"
"C0176","Suresh","suresh176@email.com","Gold","3471","2024-11-19","SEG5","+918082475967","2020-12-31"
"C0177","Rakesh","rakesh177@email.com","Basic","212","2024-11-20","SEG4","+918847444319","2022-01-28"
"C0178","Pooja","pooja178@email.com","Basic","427","2024-11-18","SEG1","+919554919335","2020-04-28"
"C0179","Abhishek","abhishek179@email.com","Silver","1666","2024-11-16","SEG5","+919411046066","2022-02-24"
"C0180","Varun","varun180@email.com","Silver","811","2024-11-15","SEG5","+917372417887","2022-02-21"
"C0181","Meera","meera181@email.com","Platinum","5124","2024-11-17","SEG2","+919652335264","2021-09-03"
"C0182","Meera","meera182@email.com","Silver","1616","2024-11-20","SEG5","+918551983927","2021-08-16"
"C0183","Vikram","vikram183@email.com","Gold","4281","2024-11-19","SEG1","+917820118131","2021-08-01"
"C0184","Anjali","anjali184@email.com","Silver","1818","2024-11-17","SEG1","+917114727188","2021-08-04"
"C0185","Tanvi","tanvi185@email.com","Basic","217","2024-11-17","SEG4","+918584980000","2023-04-07"
"C0186","Pooja","pooja186@email.com","Basic","309","2024-11-17","SEG4","+919403281763","2023-05-18"
"C0187","Ishita","ishita187@email.com","Silver","852","2024-11-16","SEG3","+919543098074","2021-06-01"
"C0188","Rajesh","rajesh188@email.com","Basic","361","2024-11-17","SEG3","+919697484003","2023-06-11"
"C0189","Amit","amit189@email.com","Basic","300","2024-11-16","SEG5","+919339003334","2023-05-26"
"C0190","Manish","manish190@email.com","Silver","824","20-Nov-2024","SEG5","+917838444308","2022-07-19"
"C0191","Suresh","suresh191@email.com","Gold","3245","2024-11-19","SEG5","+919092284571","2022-01-05"
"C0192","Ishita","ishita192@email.com","Basic","33","2024-11-20","SEG1","+919122746088","2022-11-29"
"C0193","Anita","anita193@email.com","gOlD",,"2024-11-20","SEG2","","2021-12-18"
"C0194","Sneha","sneha194@email.com","Basic","479","2024-11-15","SEG2","+918681900246","2020-11-13"
"C0194","Vivek","vivek195@email.com","Basic","-3112","2024-11-20","SEG3","","2020-08-08"
"C0196","Sneha","sneha196@email.com","platinum","980","2024-11-19","SEG5","+917616617351","2020-02-22"
"C0197","Rohan","rohan197@email.com","Platinum","7922","2024-11-17","SEG3","+917212631897","2023-10-01"
"C0198","Rajesh","rajesh198@email.com","Silver","1154","2024-11-17","SEG4","+917042762329","2021-04-27"
"C0199","Divya","divya199@email.com","Basic","304","2024-11-20","SEG4","+917441771409","2023-11-08"
"C0200","Suresh","suresh200@email.com","Basic","25","2024-11-19","SEG4","+918156279055","2021-02-10"
